-0.0015	-0.0788	0.9969
0.0395	0.0861	0.9955
-0.1295	0.0096	0.9915
0.1720	-0.0043	0.9851
-0.0919	0.1771	0.9799
0.1264	-0.1648	0.9782
-0.1489	-0.1679	0.9745
0.0728	0.2478	0.9661
-0.0144	-0.2583	0.9660
0.2096	0.1539	0.9656
-0.2551	0.0985	0.9619
-0.2803	-0.0749	0.9570
0.3018	-0.0967	0.9485
-0.2201	0.2665	0.9384
-0.0632	0.3408	0.9380
0.3431	0.0571	0.9376
0.2515	-0.2492	0.9352
0.1224	-0.3449	0.9306
-0.1524	-0.3423	0.9271
-0.2895	-0.2486	0.9243
0.2369	0.3080	0.9214
-0.4073	0.0186	0.9131
0.0960	0.4031	0.9101
-0.3759	0.1860	0.9078
0.3743	0.2096	0.9033
-0.0104	-0.4291	0.9032
-0.4215	-0.1508	0.8942
0.4556	-0.0714	0.8873
0.4018	-0.2338	0.8854
-0.1967	0.4297	0.8813
0.2935	-0.3888	0.8733
-0.3433	0.3517	0.8709
-0.0450	0.4950	0.8677
0.4956	0.0895	0.8639
-0.2847	-0.4166	0.8634
0.1593	-0.4886	0.8578
0.2532	0.4551	0.8537
-0.1421	-0.5062	0.8506
-0.4220	-0.3184	0.8489
0.3945	0.3576	0.8465
-0.5267	0.1133	0.8425
-0.5472	-0.0496	0.8356
0.1080	0.5486	0.8291
-0.4902	0.2714	0.8283
0.0219	-0.5710	0.8207
0.5228	0.2462	0.8162
0.5395	-0.2123	0.8148
0.4480	-0.3752	0.8115
-0.5517	-0.2132	0.8063
0.5930	-0.0450	0.8040
-0.3350	0.5036	0.7963
-0.1891	0.5755	0.7956
0.3312	-0.5157	0.7902
-0.4093	-0.4783	0.7770
-0.4747	0.4148	0.7763
-0.2692	-0.5730	0.7741
-0.0396	0.6339	0.7724
0.4031	0.4976	0.7680
0.6299	0.1201	0.7673
0.1950	-0.6147	0.7643
0.2582	0.5920	0.7634
-0.1125	-0.6454	0.7555
-0.6554	0.0713	0.7519
-0.5447	-0.3737	0.7508
-0.6181	0.2426	0.7477
0.5365	0.3958	0.7453
-0.6706	-0.0951	0.7357
0.5866	-0.3527	0.7290
0.1098	0.6799	0.7251
0.6635	-0.1871	0.7244
0.0546	-0.6935	0.7184
0.4857	-0.5023	0.7154
0.6512	0.2794	0.7056
0.7133	-0.0164	0.7007
